;account_id;district_id;frequency;date
0;576;55;monthly issuance;Fri, Jan 01, '93
1;3818;74;monthly issuance;Fri, Jan 01, '93
2;704;55;monthly issuance;Fri, Jan 01, '93
3;2378;16;monthly issuance;Fri, Jan 01, '93
4;2632;24;monthly issuance;Sat, Jan 02, '93
5;1972;77;monthly issuance;Sat, Jan 02, '93
6;1539;1;issuance after transaction;Sun, Jan 03, '93
7;793;47;monthly issuance;Sun, Jan 03, '93
8;2484;74;monthly issuance;Sun, Jan 03, '93
9;1695;76;monthly issuance;Sun, Jan 03, '93
10;1726;48;monthly issuance;Sun, Jan 03, '93
11;2881;70;monthly issuance;Mon, Jan 04, '93
12;2357;19;monthly issuance;Mon, Jan 04, '93
13;2177;62;monthly issuance;Mon, Jan 04, '93
14;485;6;issuance after transaction;Mon, Jan 04, '93
15;652;21;monthly issuance;Tue, Jan 05, '93
16;9635;70;monthly issuance;Tue, Jan 05, '93
17;1844;44;monthly issuance;Wed, Jan 06, '93
18;1926;37;monthly issuance;Wed, Jan 06, '93
19;2393;10;monthly issuance;Thu, Jan 07, '93
20;3510;41;monthly issuance;Thu, Jan 07, '93
21;1276;36;monthly issuance;Thu, Jan 07, '93
22;1637;1;monthly issuance;Fri, Jan 08, '93
23;3871;26;monthly issuance;Fri, Jan 08, '93
24;192;55;monthly issuance;Fri, Jan 08, '93
25;764;1;monthly issuance;Fri, Jan 08, '93
26;2087;7;weekly issuance;Fri, Jan 08, '93
27;2122;68;monthly issuance;Fri, Jan 08, '93
28;3592;54;monthly issuance;Fri, Jan 08, '93
29;3487;41;monthly issuance;Fri, Jan 08, '93
30;435;38;monthly issuance;Fri, Jan 08, '93
31;1730;1;monthly issuance;Sat, Jan 09, '93
32;1493;41;monthly issuance;Sat, Jan 09, '93
33;374;38;monthly issuance;Sat, Jan 09, '93
34;2925;1;monthly issuance;Sun, Jan 10, '93
35;866;9;monthly issuance;Sun, Jan 10, '93
36;1628;60;monthly issuance;Sun, Jan 10, '93
37;2379;44;monthly issuance;Sun, Jan 10, '93
38;1979;26;monthly issuance;Mon, Jan 11, '93
39;346;37;monthly issuance;Mon, Jan 11, '93
40;1338;74;monthly issuance;Mon, Jan 11, '93
41;1909;14;monthly issuance;Tue, Jan 12, '93
42;2099;3;weekly issuance;Tue, Jan 12, '93
43;3760;44;monthly issuance;Wed, Jan 13, '93
44;5270;44;monthly issuance;Wed, Jan 13, '93
45;1699;53;monthly issuance;Thu, Jan 14, '93
46;3909;1;monthly issuance;Thu, Jan 14, '93
47;2926;50;monthly issuance;Thu, Jan 14, '93
48;1731;33;monthly issuance;Thu, Jan 14, '93
49;11265;15;monthly issuance;Thu, Jan 14, '93
50;2519;4;monthly issuance;Fri, Jan 15, '93
51;10364;55;monthly issuance;Sun, Jan 17, '93
52;1481;15;monthly issuance;Sun, Jan 17, '93
53;401;32;monthly issuance;Mon, Jan 18, '93
54;4034;1;monthly issuance;Mon, Jan 18, '93
55;2330;54;monthly issuance;Tue, Jan 19, '93
56;1806;40;monthly issuance;Tue, Jan 19, '93
57;3834;54;monthly issuance;Tue, Jan 19, '93
58;1222;66;monthly issuance;Wed, Jan 20, '93
59;212;27;weekly issuance;Wed, Jan 20, '93
60;456;49;monthly issuance;Thu, Jan 21, '93
61;459;47;monthly issuance;Thu, Jan 21, '93
62;772;45;monthly issuance;Thu, Jan 21, '93
63;1019;52;monthly issuance;Thu, Jan 21, '93
64;11295;74;monthly issuance;Thu, Jan 21, '93
65;2970;60;monthly issuance;Fri, Jan 22, '93
66;2676;73;monthly issuance;Fri, Jan 22, '93
67;1536;41;weekly issuance;Fri, Jan 22, '93
68;1179;74;monthly issuance;Sat, Jan 23, '93
69;280;25;monthly issuance;Sat, Jan 23, '93
70;2425;41;monthly issuance;Sat, Jan 23, '93
71;9307;68;monthly issuance;Sun, Jan 24, '93
72;4055;23;monthly issuance;Sun, Jan 24, '93
73;5065;66;monthly issuance;Sun, Jan 24, '93
74;3704;75;monthly issuance;Sun, Jan 24, '93
75;477;1;monthly issuance;Mon, Jan 25, '93
76;5891;54;monthly issuance;Mon, Jan 25, '93
77;1000;77;monthly issuance;Mon, Jan 25, '93
78;1750;1;monthly issuance;Tue, Jan 26, '93
79;2023;68;monthly issuance;Tue, Jan 26, '93
80;6473;12;monthly issuance;Tue, Jan 26, '93
81;1649;46;monthly issuance;Tue, Jan 26, '93
82;2670;13;monthly issuance;Wed, Jan 27, '93
83;1127;27;monthly issuance;Wed, Jan 27, '93
84;163;30;monthly issuance;Wed, Jan 27, '93
85;2566;48;monthly issuance;Wed, Jan 27, '93
86;9;70;monthly issuance;Wed, Jan 27, '93
87;1144;59;monthly issuance;Thu, Jan 28, '93
88;2902;32;monthly issuance;Thu, Jan 28, '93
89;4296;63;monthly issuance;Thu, Jan 28, '93
90;443;64;monthly issuance;Thu, Jan 28, '93
91;3693;61;monthly issuance;Fri, Jan 29, '93
92;2070;72;monthly issuance;Fri, Jan 29, '93
93;1843;12;monthly issuance;Sat, Jan 30, '93
94;2714;1;monthly issuance;Sat, Jan 30, '93
95;4078;40;monthly issuance;Sat, Jan 30, '93
96;1675;36;monthly issuance;Mon, Feb 01, '93
97;5868;44;monthly issuance;Tue, Feb 02, '93
98;1805;1;monthly issuance;Tue, Feb 02, '93
99;2434;17;monthly issuance;Tue, Feb 02, '93
100;3007;16;monthly issuance;Tue, Feb 02, '93
101;2574;68;monthly issuance;Tue, Feb 02, '93
102;862;64;weekly issuance;Tue, Feb 02, '93
103;1132;1;weekly issuance;Wed, Feb 03, '93
104;4484;54;monthly issuance;Wed, Feb 03, '93
105;943;1;monthly issuance;Wed, Feb 03, '93
106;3514;7;monthly issuance;Wed, Feb 03, '93
107;3983;67;monthly issuance;Thu, Feb 04, '93
108;9265;1;monthly issuance;Thu, Feb 04, '93
109;465;32;monthly issuance;Thu, Feb 04, '93
110;982;54;monthly issuance;Fri, Feb 05, '93
111;411;70;monthly issuance;Fri, Feb 05, '93
112;890;14;monthly issuance;Fri, Feb 05, '93
113;627;63;monthly issuance;Fri, Feb 05, '93
114;2429;61;monthly issuance;Sat, Feb 06, '93
115;3960;64;monthly issuance;Sat, Feb 06, '93
116;2256;48;monthly issuance;Sat, Feb 06, '93
117;8051;1;weekly issuance;Sun, Feb 07, '93
118;2647;73;monthly issuance;Mon, Feb 08, '93
119;2241;6;monthly issuance;Mon, Feb 08, '93
120;5622;70;monthly issuance;Mon, Feb 08, '93
121;2884;1;monthly issuance;Mon, Feb 08, '93
122;1830;10;monthly issuance;Mon, Feb 08, '93
123;7753;74;monthly issuance;Mon, Feb 08, '93
124;244;24;monthly issuance;Mon, Feb 08, '93
125;1477;1;monthly issuance;Mon, Feb 08, '93
126;4240;50;monthly issuance;Mon, Feb 08, '93
127;1006;6;monthly issuance;Mon, Feb 08, '93
128;830;74;monthly issuance;Mon, Feb 08, '93
129;9188;45;monthly issuance;Mon, Feb 08, '93
130;1965;57;issuance after transaction;Mon, Feb 08, '93
131;1134;6;monthly issuance;Tue, Feb 09, '93
132;1601;10;monthly issuance;Tue, Feb 09, '93
133;2861;38;monthly issuance;Wed, Feb 10, '93
134;813;16;monthly issuance;Wed, Feb 10, '93
135;2585;75;monthly issuance;Wed, Feb 10, '93
136;2220;16;monthly issuance;Wed, Feb 10, '93
137;2763;64;monthly issuance;Thu, Feb 11, '93
138;2342;51;monthly issuance;Thu, Feb 11, '93
139;1944;72;monthly issuance;Fri, Feb 12, '93
140;1966;27;monthly issuance;Fri, Feb 12, '93
141;1801;46;monthly issuance;Sat, Feb 13, '93
142;2543;68;monthly issuance;Sat, Feb 13, '93
143;2293;31;monthly issuance;Sat, Feb 13, '93
144;11013;1;weekly issuance;Sun, Feb 14, '93
145;2423;30;monthly issuance;Sun, Feb 14, '93
146;142;51;monthly issuance;Mon, Feb 15, '93
147;3424;74;monthly issuance;Tue, Feb 16, '93
148;539;13;issuance after transaction;Tue, Feb 16, '93
149;979;21;monthly issuance;Tue, Feb 16, '93
150;3554;66;monthly issuance;Tue, Feb 16, '93
151;3545;51;monthly issuance;Wed, Feb 17, '93
152;3047;16;monthly issuance;Wed, Feb 17, '93
153;3374;21;monthly issuance;Wed, Feb 17, '93
154;96;68;monthly issuance;Thu, Feb 18, '93
155;461;30;monthly issuance;Thu, Feb 18, '93
156;3593;1;monthly issuance;Thu, Feb 18, '93
157;3026;24;monthly issuance;Thu, Feb 18, '93
158;1054;10;monthly issuance;Fri, Feb 19, '93
159;2433;71;monthly issuance;Fri, Feb 19, '93
160;3691;50;monthly issuance;Fri, Feb 19, '93
161;3787;70;monthly issuance;Fri, Feb 19, '93
162;128;2;monthly issuance;Fri, Feb 19, '93
163;3168;39;monthly issuance;Sat, Feb 20, '93
164;4937;12;monthly issuance;Sat, Feb 20, '93
