;loan_id;account_id;date;amount;duration;payments;status
0;5314;1787;Mon, Jul 05, '93;96396;12;8033;-1
1;5316;1801;Sun, Jul 11, '93;165960;36;4610;1
2;6863;9188;Wed, Jul 28, '93;127080;60;2118;1
3;5325;1843;Tue, Aug 03, '93;105804;36;2939;1
4;7240;11013;Mon, Sep 06, '93;274740;60;4579;1
5;6687;8261;Mon, Sep 13, '93;87840;24;3660;1
6;7284;11265;Wed, Sep 15, '93;52788;12;4399;1
7;6111;5428;Fri, Sep 24, '93;174744;24;7281;-1
8;7235;10973;Wed, Oct 13, '93;154416;48;3217;1
9;5997;4894;Thu, Nov 04, '93;117024;24;4876;1
10;7121;10364;Wed, Nov 10, '93;21924;36;609;1
11;6077;5270;Mon, Nov 22, '93;79608;24;3317;1
12;6228;6034;Wed, Dec 01, '93;464520;60;7742;-1
13;6356;6701;Wed, Dec 08, '93;95400;36;2650;1
14;5523;2705;Wed, Dec 08, '93;93888;36;2608;1
15;6456;7123;Thu, Dec 09, '93;47016;12;3918;1
16;7104;10320;Mon, Dec 13, '93;259740;60;4329;1
17;6820;9034;Thu, Dec 16, '93;38148;12;3179;1
18;6876;9236;Tue, Dec 21, '93;86616;12;7218;1
19;7097;10266;Thu, Dec 23, '93;75624;24;3151;-1
20;4959;2;Wed, Jan 05, '94;80952;24;3373;1
21;6499;7401;Wed, Jan 05, '94;80952;24;3373;1
22;5479;2486;Mon, Jan 10, '94;24516;12;2043;1
23;5170;1071;Thu, Jan 20, '94;253200;60;4220;1
24;6721;8475;Fri, Jan 21, '94;21072;24;878;1
25;7259;11111;Mon, Jan 31, '94;108144;36;3004;1
26;5285;1603;Sun, Feb 06, '94;78936;12;6578;1
27;5189;1166;Mon, Feb 07, '94;149040;48;3105;1
28;6650;8073;Thu, Feb 17, '94;49320;12;4110;-1
29;7226;10940;Wed, Feb 23, '94;197748;36;5493;1
30;6087;5313;Sun, Feb 27, '94;300660;60;5011;1
31;7262;11135;Tue, Mar 01, '94;182628;36;5073;1
32;5519;2694;Tue, Mar 08, '94;91632;12;7636;1
33;6577;7753;Fri, Mar 11, '94;51696;24;2154;1
34;6509;7445;Tue, Mar 15, '94;55368;24;2307;1
35;6520;7485;Wed, Mar 16, '94;91200;24;3800;1
36;6699;8330;Wed, Mar 30, '94;7656;24;319;1
37;6336;6555;Thu, Mar 31, '94;212400;36;5900;1
38;7055;10079;Wed, Apr 06, '94;167100;60;2785;1
39;6103;5385;Thu, Apr 07, '94;149340;60;2489;1
40;6202;5891;Mon, Apr 18, '94;65184;12;5432;1
41;7066;10131;Mon, May 02, '94;215388;36;5983;-1
42;6696;8321;Mon, May 09, '94;89040;60;1484;1
43;6072;5256;Tue, May 10, '94;193968;36;5388;1
44;5130;813;Wed, May 11, '94;24312;12;2026;1
45;5568;2933;Tue, May 17, '94;272520;60;4542;1
46;6678;8173;Fri, May 20, '94;80340;12;6695;1
47;6998;9833;Sat, May 21, '94;97632;12;8136;1
48;6580;7769;Sun, May 22, '94;196080;48;4085;1
49;6316;6473;Thu, May 26, '94;76908;12;6409;-1
50;6512;7454;Thu, May 26, '94;63312;48;1319;1
51;6407;6930;Thu, May 26, '94;25944;24;1081;1
52;5002;173;Tue, May 31, '94;104808;12;8734;1
53;6647;8051;Wed, Jun 01, '94;208320;48;4340;1
54;7137;10439;Fri, Jun 03, '94;151560;24;6315;1
55;6903;9337;Sat, Jun 04, '94;52128;24;2172;1
56;5918;4576;Sat, Jun 04, '94;300204;36;8339;1
57;6642;8027;Sun, Jun 05, '94;77640;12;6470;1
58;6210;5927;Mon, Jun 06, '94;87216;48;1817;-1
59;6279;6273;Tue, Jun 07, '94;87360;24;3640;1
60;7249;11065;Sun, Jun 12, '94;69360;48;1445;1
61;6736;8558;Tue, Jun 14, '94;288360;60;4806;1
62;6112;5442;Fri, Jun 17, '94;174744;24;7281;-1
63;5319;1811;Thu, Jun 23, '94;239460;60;3991;1
64;6596;7844;Sat, Jun 25, '94;91584;24;3816;1
65;5837;4260;Wed, Jun 29, '94;244560;60;4076;1
66;5657;3354;Tue, Jul 05, '94;4980;12;415;1
67;5533;2762;Tue, Jul 05, '94;111384;24;4641;1
68;6232;6051;Fri, Jul 08, '94;276660;36;7685;-1
69;6888;9265;Mon, Jul 11, '94;39576;12;3298;1
70;6066;5228;Mon, Jul 11, '94;173808;24;7242;1
71;5549;2824;Sat, Jul 16, '94;50460;60;841;1
72;5060;426;Tue, Jul 19, '94;252060;60;4201;-1
73;6004;4937;Sat, Jul 23, '94;143904;24;5996;1
74;5126;790;Sun, Jul 24, '94;208128;48;4336;-1
75;7220;10911;Thu, Jul 28, '94;131292;36;3647;1
76;6668;8129;Sat, Jul 30, '94;74736;36;2076;1
77;5395;2176;Sat, Jul 30, '94;299088;36;8308;-1
78;6836;9093;Wed, Aug 03, '94;189300;60;3155;1
79;6064;5215;Thu, Aug 04, '94;14628;12;1219;1
80;6919;9403;Fri, Aug 05, '94;120888;36;3358;1
81;6841;9104;Sun, Aug 07, '94;172080;48;3585;1
82;6038;5120;Wed, Aug 10, '94;323472;48;6739;1
83;6729;8519;Thu, Aug 11, '94;74688;12;6224;1
84;7198;10788;Tue, Aug 23, '94;45768;12;3814;1
85;6686;8260;Thu, Aug 25, '94;224604;36;6239;1
86;5836;4259;Sat, Aug 27, '94;79632;24;3318;1
87;7061;10105;Sat, Aug 27, '94;121896;24;5079;1
88;5595;3050;Fri, Sep 02, '94;82896;12;6908;1
89;5723;3674;Sat, Sep 10, '94;23628;12;1969;1
90;6120;5481;Sun, Sep 11, '94;209184;48;4358;1
91;6895;9307;Mon, Sep 19, '94;41904;12;3492;1
92;5882;4427;Mon, Sep 26, '94;87816;12;7318;1
93;5754;3834;Wed, Sep 28, '94;23052;12;1921;1
94;6594;7824;Wed, Sep 28, '94;189696;24;7904;-1
95;6738;8566;Thu, Sep 29, '94;230220;36;6395;-1
96;6624;7965;Fri, Sep 30, '94;71460;12;5955;1
97;6216;5952;Fri, Sep 30, '94;141240;24;5885;1
98;6229;6040;Sun, Oct 02, '94;11736;24;489;1
99;5887;4448;Mon, Oct 03, '94;192744;36;5354;1
100;6808;8982;Wed, Oct 12, '94;227880;36;6330;1
101;6297;6363;Tue, Oct 25, '94;17508;12;1459;1
102;5161;1012;Fri, Oct 28, '94;98184;24;4091;1
103;5390;2167;Sun, Oct 30, '94;170256;24;7094;1
104;6150;5622;Wed, Nov 02, '94;83016;12;6918;1
105;6223;5991;Thu, Nov 03, '94;61056;48;1272;1
106;5032;290;Thu, Nov 03, '94;123696;48;2577;1
107;6253;6148;Fri, Nov 04, '94;59760;24;2490;1
108;6460;7133;Sun, Nov 06, '94;48672;36;1352;1
109;6645;8041;Sun, Nov 06, '94;140400;36;3900;1
110;5176;1106;Sat, Nov 12, '94;192552;24;8023;-1
111;5269;1527;Sat, Nov 19, '94;164052;36;4557;-1
112;5351;1978;Sun, Dec 04, '94;205200;36;5700;1
113;5861;4337;Thu, Dec 08, '94;51408;24;2142;1
114;5450;2345;Sun, Dec 11, '94;199680;60;3328;1
115;7142;10451;Mon, Dec 19, '94;482940;60;8049;-1
116;6306;6425;Tue, Dec 20, '94;36684;12;3057;1
117;6272;6226;Tue, Dec 20, '94;398640;60;6644;1
118;5044;344;Wed, Dec 21, '94;100980;60;1683;1
119;5576;2962;Wed, Dec 21, '94;31248;12;2604;1
120;7192;10738;Wed, Dec 21, '94;115992;36;3222;1
121;5739;3747;Mon, Jan 02, '95;76380;12;6365;1
122;6526;7523;Tue, Jan 03, '95;288468;36;8013;1
123;5624;3166;Tue, Jan 03, '95;177744;48;3703;-1
124;6244;6118;Sun, Jan 08, '95;270648;36;7518;-1
125;5131;816;Sun, Jan 08, '95;48624;24;2026;1
126;6960;9640;Wed, Jan 11, '95;76416;24;3184;1
127;6358;6715;Sat, Jan 14, '95;137880;60;2298;-1
128;5418;2245;Mon, Jan 16, '95;347952;48;7249;1
129;6598;7857;Wed, Jan 18, '95;68112;12;5676;1
130;5464;2419;Mon, Jan 30, '95;95808;12;7984;1
131;6591;7819;Thu, Feb 02, '95;20832;48;434;1
132;5724;3678;Sun, Feb 05, '95;316140;60;5269;-1
133;6315;6472;Mon, Feb 06, '95;43164;12;3597;1
134;5876;4413;Wed, Feb 08, '95;221280;48;4610;1
135;6986;9750;Sat, Feb 11, '95;151728;48;3161;-1
136;6294;6353;Sun, Feb 12, '95;79920;60;1332;1
137;5132;817;Fri, Feb 17, '95;538500;60;8975;1
138;5877;4414;Thu, Feb 23, '95;97224;24;4051;1
139;6227;6030;Sat, Mar 04, '95;28248;24;1177;1
140;7241;11021;Sat, Mar 04, '95;168984;24;7041;-1
141;6737;8564;Sat, Mar 11, '95;76680;24;3195;1
142;7004;9869;Wed, Mar 15, '95;331560;60;5526;1
143;6169;5700;Thu, Mar 16, '95;103680;60;1728;-1
144;5208;1247;Thu, Mar 16, '95;99696;48;2077;-1
145;6694;8316;Sun, Mar 19, '95;134784;24;5616;1
146;5599;3064;Tue, Mar 21, '95;15420;12;1285;1
147;6546;7607;Mon, Mar 27, '95;31728;24;1322;1
148;5414;2228;Wed, Mar 29, '95;185952;48;3874;1
149;5453;2361;Sat, Apr 01, '95;156672;36;4352;1
150;5740;3752;Sun, Apr 02, '95;18564;12;1547;1
151;5804;4079;Wed, Apr 05, '95;158976;48;3312;1
152;6745;8625;Mon, Apr 10, '95;47304;24;1971;1
153;6950;9591;Tue, Apr 11, '95;104712;24;4363;1
154;6996;9828;Thu, Apr 13, '95;126600;24;5275;1
155;5352;1993;Sat, Apr 15, '95;68400;12;5700;-1
156;6151;5628;Tue, Apr 25, '95;225420;60;3757;1
157;5310;1762;Fri, Apr 28, '95;248148;36;6893;1
158;5045;347;Mon, May 01, '95;187224;24;7801;-1
159;6929;9472;Mon, May 08, '95;36396;12;3033;1
160;5151;960;Wed, May 24, '95;189060;60;3151;1
161;5212;1256;Mon, May 29, '95;71064;36;1974;1
162;5138;854;Tue, May 30, '95;87216;48;1817;1
163;5713;3629;Tue, May 30, '95;158760;60;2646;1
164;6704;8377;Thu, Jun 01, '95;417060;60;6951;1
165;6474;7190;Tue, Jun 06, '95;63360;60;1056;1
166;6676;8159;Tue, Jun 13, '95;29784;24;1241;1
167;6965;9656;Tue, Jun 13, '95;139536;24;5814;1
168;6725;8489;Fri, Jun 23, '95;265320;36;7370;1
169;7166;10630;Sat, Jun 24, '95;198240;24;8260;1
170;7138;10440;Mon, Jul 03, '95;60000;60;1000;1
171;5970;4774;Sun, Jul 09, '95;465072;48;9689;1
172;6157;5650;Mon, Jul 10, '95;98592;24;4108;1
173;6153;5632;Tue, Jul 25, '95;285600;60;4760;1
174;5693;3489;Tue, Aug 01, '95;44088;24;1837;1
175;5922;4580;Sat, Aug 05, '95;20220;12;1685;1
176;5959;4727;Fri, Aug 11, '95;107640;24;4485;1
177;5980;4825;Fri, Aug 18, '95;21396;12;1783;1
178;6764;8776;Sat, Aug 26, '95;33984;48;708;1
179;5237;1375;Tue, Aug 29, '95;45336;24;1889;1
180;6726;8492;Sun, Sep 03, '95;85860;60;1431;1
181;6933;9493;Sat, Sep 09, '95;188688;48;3931;1
182;5145;915;Sat, Sep 16, '95;309552;48;6449;1
183;7008;9897;Fri, Sep 22, '95;36168;12;3014;1
184;7227;10942;Mon, Oct 02, '95;314520;60;5242;1
185;6600;7861;Sun, Oct 08, '95;21852;36;607;1
186;6712;8405;Sat, Oct 14, '95;266220;60;4437;1
187;7057;10093;Fri, Oct 20, '95;231696;36;6436;1
188;7176;10663;Sat, Oct 28, '95;260028;36;7223;1
189;7304;11349;Sun, Oct 29, '95;419880;60;6998;1
190;6362;6738;Tue, Oct 31, '95;37908;12;3159;1
191;5880;4423;Tue, Oct 31, '95;73836;36;2051;1
192;6535;7546;Thu, Nov 02, '95;41952;12;3496;1
193;5449;2343;Sat, Nov 04, '95;99336;24;4139;1
194;6342;6609;Sun, Nov 12, '95;60156;36;1671;-1
195;5409;2218;Sat, Nov 18, '95;182040;60;3034;1
196;6955;9627;Wed, Nov 22, '95;244368;48;5091;1
197;6985;9731;Wed, Nov 22, '95;113796;36;3161;1
198;5125;789;Thu, Nov 23, '95;73056;48;1522;1
199;5805;4081;Tue, Nov 28, '95;137904;24;5746;-1
200;6185;5774;Tue, Nov 28, '95;31176;24;1299;1
201;7243;11042;Mon, Dec 04, '95;217152;36;6032;1
202;6403;6924;Tue, Dec 05, '95;194880;48;4060;1
203;6578;7765;Mon, Dec 11, '95;27984;12;2332;1
204;5413;2227;Tue, Dec 12, '95;92976;24;3874;1
205;6949;9583;Tue, Dec 12, '95;104712;24;4363;1
206;6545;7606;Tue, Dec 12, '95;191880;60;3198;1
207;6178;5742;Sat, Dec 16, '95;232560;48;4845;1
208;5160;1011;Mon, Dec 18, '95;204000;60;3400;1
209;6785;8899;Mon, Dec 25, '95;125340;60;2089;1
210;6540;7562;Sun, Dec 31, '95;309600;48;6450;1
211;6589;7815;Mon, Jan 01, '96;189696;24;7904;1
212;5900;4503;Mon, Jan 01, '96;135360;48;2820;1
213;5999;4907;Wed, Jan 03, '96;98832;48;2059;1
214;6043;5126;Thu, Jan 11, '96;20352;48;424;1
215;5482;2496;Fri, Jan 12, '96;165120;60;2752;1
216;7263;11138;Fri, Jan 19, '96;89880;24;3745;1
217;6013;4995;Sat, Feb 03, '96;128988;36;3583;-1
218;5750;3804;Thu, Feb 08, '96;63252;12;5271;1
219;6027;5066;Sat, Feb 10, '96;61656;24;2569;-1
220;6303;6400;Mon, Feb 12, '96;72408;24;3017;-1
221;7213;10884;Tue, Feb 13, '96;113544;36;3154;1
222;6659;8092;Tue, Feb 20, '96;56100;60;935;1
223;6175;5735;Wed, Feb 21, '96;290700;60;4845;-1
224;5610;3112;Sat, Feb 24, '96;123216;48;2567;1
225;5563;2912;Thu, Feb 29, '96;380160;60;6336;1
226;5989;4852;Mon, Mar 04, '96;213300;36;5925;1
227;6698;8327;Sun, Mar 10, '96;247728;48;5161;1
228;5312;1772;Wed, Mar 13, '96;202788;36;5633;1
229;7189;10728;Thu, Mar 21, '96;154656;48;3222;1
230;6816;9017;Tue, Mar 26, '96;100224;48;2088;-1
231;6137;5574;Wed, Apr 10, '96;44628;12;3719;1
232;5128;808;Thu, Apr 11, '96;215616;48;4492;-1
233;5470;2456;Mon, Apr 15, '96;200976;48;4187;1
234;5593;3037;Thu, Apr 18, '96;277884;36;7719;-1
235;5350;1967;Sun, Apr 21, '96;249312;48;5194;1
236;6063;5213;Thu, Apr 25, '96;320976;48;6687;-1
237;6501;7418;Mon, Apr 29, '96;30276;12;2523;-1
238;5452;2352;Mon, Apr 29, '96;49440;60;824;1
239;4961;19;Mon, Apr 29, '96;30276;12;2523;-1
240;4973;67;Thu, May 02, '96;165960;24;6915;1
241;6190;5794;Mon, May 06, '96;123600;60;2060;1
242;6715;8411;Mon, May 06, '96;220620;60;3677;1
243;5892;4462;Tue, May 14, '96;66480;24;2770;-1
244;6550;7614;Sat, May 18, '96;320592;48;6679;1
245;5706;3608;Fri, May 24, '96;161496;36;4486;1
246;5148;940;Wed, May 29, '96;284280;60;4738;1
247;6734;8547;Thu, May 30, '96;173016;36;4806;1
248;6109;5422;Mon, Jun 03, '96;368880;60;6148;1
249;6961;9645;Thu, Jun 06, '96;176148;36;4893;1
250;6810;9006;Sat, Jun 08, '96;186384;48;3883;1
251;5494;2572;Thu, Jun 13, '96;360000;48;7500;1
252;5311;1766;Sat, Jun 15, '96;30060;60;501;1
253;5445;2322;Sat, Jun 29, '96;46320;24;1930;1
254;5301;1698;Sat, Jul 06, '96;141948;36;3943;1
255;7034;10001;Thu, Jul 11, '96;19044;36;529;1
256;6751;8680;Sun, Jul 14, '96;85716;36;2381;1
257;6667;8127;Mon, Jul 15, '96;155880;24;6495;1
258;6130;5541;Thu, Jul 18, '96;32640;48;680;1
259;5429;2268;Thu, Jul 18, '96;20196;36;561;1
260;5725;3679;Tue, Jul 23, '96;444864;48;9268;1
261;6019;5033;Thu, Jul 25, '96;11400;12;950;1
262;6421;6985;Thu, Jul 25, '96;96768;36;2688;1
263;6992;9790;Sat, Jul 27, '96;133968;48;2791;1
264;5136;846;Sun, Jul 28, '96;187104;24;7796;1
