"duration";"amount";"gender";"client_age";"status";"account_id";"cluster"
12.0;96396.0;1.0;45.0;-1.0;1787.0;"cluster_1"
36.0;165960.0;0.0;24.0;1.0;1801.0;"cluster_2"
60.0;127080.0;0.0;57.0;1.0;9188.0;"cluster_3"
36.0;105804.0;1.0;53.0;1.0;1843.0;"cluster_1"
60.0;274740.0;0.0;14.0;1.0;11013.0;"cluster_0"
24.0;87840.0;1.0;13.0;1.0;8261.0;"cluster_1"
12.0;52788.0;0.0;20.0;1.0;11265.0;"cluster_2"
24.0;174744.0;1.0;45.0;-1.0;5428.0;"cluster_1"
48.0;154416.0;1.0;24.0;1.0;10973.0;"cluster_1"
24.0;117024.0;0.0;58.0;1.0;4894.0;"cluster_3"
36.0;21924.0;0.0;33.0;1.0;10364.0;"cluster_2"
24.0;79608.0;0.0;23.0;1.0;5270.0;"cluster_2"
60.0;464520.0;1.0;52.0;-1.0;6034.0;"cluster_0"
36.0;95400.0;0.0;22.0;1.0;6701.0;"cluster_2"
36.0;93888.0;1.0;43.0;1.0;2705.0;"cluster_1"
12.0;47016.0;1.0;35.0;1.0;7123.0;"cluster_1"
60.0;259740.0;0.0;14.0;1.0;10320.0;"cluster_0"
12.0;38148.0;1.0;28.0;1.0;9034.0;"cluster_1"
12.0;86616.0;0.0;32.0;1.0;9236.0;"cluster_2"
24.0;75624.0;0.0;35.0;-1.0;10266.0;"cluster_2"
24.0;80952.0;0.0;48.0;1.0;2.0;"cluster_3"
24.0;80952.0;0.0;48.0;1.0;7401.0;"cluster_3"
12.0;24516.0;0.0;35.0;1.0;2486.0;"cluster_2"
60.0;253200.0;1.0;43.0;1.0;1071.0;"cluster_0"
24.0;21072.0;1.0;29.0;1.0;8475.0;"cluster_1"
36.0;108144.0;1.0;30.0;1.0;11111.0;"cluster_1"
12.0;78936.0;1.0;37.0;1.0;1603.0;"cluster_1"
48.0;149040.0;1.0;25.0;1.0;1166.0;"cluster_1"
12.0;49320.0;1.0;48.0;-1.0;8073.0;"cluster_1"
36.0;197748.0;1.0;23.0;1.0;10940.0;"cluster_1"
60.0;300660.0;0.0;44.0;1.0;5313.0;"cluster_0"
36.0;182628.0;0.0;34.0;1.0;11135.0;"cluster_2"
12.0;91632.0;1.0;31.0;1.0;2694.0;"cluster_1"
24.0;51696.0;1.0;26.0;1.0;7753.0;"cluster_1"
24.0;55368.0;1.0;54.0;1.0;7445.0;"cluster_1"
24.0;91200.0;1.0;38.0;1.0;7485.0;"cluster_1"
24.0;7656.0;1.0;31.0;1.0;8330.0;"cluster_1"
36.0;212400.0;1.0;27.0;1.0;6555.0;"cluster_1"
60.0;167100.0;1.0;24.0;1.0;10079.0;"cluster_0"
60.0;149340.0;0.0;31.0;1.0;5385.0;"cluster_2"
12.0;65184.0;0.0;36.0;1.0;5891.0;"cluster_2"
36.0;215388.0;0.0;34.0;-1.0;10131.0;"cluster_2"
60.0;89040.0;1.0;24.0;1.0;8321.0;"cluster_1"
36.0;193968.0;0.0;21.0;1.0;5256.0;"cluster_2"
12.0;24312.0;1.0;38.0;1.0;813.0;"cluster_1"
60.0;272520.0;0.0;54.0;1.0;2933.0;"cluster_3"
12.0;80340.0;1.0;18.0;1.0;8173.0;"cluster_1"
12.0;97632.0;1.0;25.0;1.0;9833.0;"cluster_1"
48.0;196080.0;0.0;35.0;1.0;7769.0;"cluster_2"
12.0;76908.0;1.0;48.0;-1.0;6473.0;"cluster_1"
48.0;63312.0;1.0;38.0;1.0;7454.0;"cluster_1"
24.0;25944.0;1.0;34.0;1.0;6930.0;"cluster_1"
12.0;104808.0;0.0;54.0;1.0;173.0;"cluster_3"
48.0;208320.0;1.0;26.0;1.0;8051.0;"cluster_0"
24.0;151560.0;0.0;41.0;1.0;10439.0;"cluster_3"
24.0;52128.0;1.0;34.0;1.0;9337.0;"cluster_1"
36.0;300204.0;0.0;30.0;1.0;4576.0;"cluster_0"
12.0;77640.0;0.0;26.0;1.0;8027.0;"cluster_2"
48.0;87216.0;0.0;30.0;-1.0;5927.0;"cluster_2"
24.0;87360.0;0.0;31.0;1.0;6273.0;"cluster_2"
48.0;69360.0;0.0;52.0;1.0;11065.0;"cluster_3"
60.0;288360.0;0.0;58.0;1.0;8558.0;"cluster_3"
24.0;174744.0;1.0;15.0;-1.0;5442.0;"cluster_1"
60.0;239460.0;1.0;51.0;1.0;1811.0;"cluster_0"
24.0;91584.0;1.0;42.0;1.0;7844.0;"cluster_1"
60.0;244560.0;1.0;26.0;1.0;4260.0;"cluster_0"
12.0;4980.0;1.0;41.0;1.0;3354.0;"cluster_1"
24.0;111384.0;0.0;27.0;1.0;2762.0;"cluster_2"
36.0;276660.0;0.0;45.0;-1.0;6051.0;"cluster_3"
12.0;39576.0;1.0;14.0;1.0;9265.0;"cluster_1"
24.0;173808.0;1.0;37.0;1.0;5228.0;"cluster_1"
60.0;50460.0;1.0;46.0;1.0;2824.0;"cluster_1"
60.0;252060.0;1.0;28.0;-1.0;426.0;"cluster_0"
24.0;143904.0;0.0;43.0;1.0;4937.0;"cluster_3"
48.0;208128.0;0.0;42.0;-1.0;790.0;"cluster_3"
36.0;131292.0;0.0;40.0;1.0;10911.0;"cluster_3"
36.0;74736.0;0.0;28.0;1.0;8129.0;"cluster_2"
