"duration";"amount";"credits_mean";"withdrawals_mean";"average_balance_monthly";"payment_monthly";"gender";"client_age";"district_id";"last_balance";"district_average_salary";"district_unemployment_rate";"enterpreneur_ratio";"status";"account_id";"cluster"
12.0;96396.0;5025.0;0.0;12250.0;8033.0;1.0;45.0;30.0;20100.0;9650.0;3.67;0.1;"-1";1787.0;"cluster_3"
36.0;165960.0;14708.7;9084.76;49304.45;4610.0;0.0;24.0;46.0;52208.9;8369.0;2.31;0.117;"1";1801.0;"cluster_1"
60.0;127080.0;5446.59;7994.71;21940.18;2118.0;0.0;57.0;45.0;20272.8;8390.0;2.89;0.132;"1";9188.0;"cluster_3"
36.0;105804.0;9408.56;9492.77;28803.84;2939.0;1.0;53.0;14.0;34292.7;10045.0;1.71;0.135;"1";1843.0;"cluster_3"
60.0;274740.0;19780.51;20571.54;41755.73;4579.0;0.0;14.0;63.0;41142.9;8288.0;4.52;0.11;"1";11013.0;"cluster_2"
24.0;87840.0;7347.59;19600.0;51021.84;3660.0;1.0;13.0;13.0;43847.8;8598.0;3.26;0.123;"1";8261.0;"cluster_1"
12.0;52788.0;4027.18;3380.19;20007.19;4399.0;0.0;20.0;15.0;21029.0;9045.0;3.6;0.124;"1";11265.0;"cluster_3"
24.0;174744.0;12182.0;12344.69;42204.07;7281.0;1.0;45.0;24.0;58140.9;8991.0;2.01;0.128;"-1";5428.0;"cluster_1"
48.0;154416.0;10482.93;8670.59;45594.5;3217.0;1.0;24.0;18.0;53402.7;8968.0;3.35;0.131;"1";10973.0;"cluster_2"
24.0;117024.0;11919.35;16300.0;34083.48;4876.0;0.0;58.0;14.0;53193.5;10045.0;1.71;0.135;"1";4894.0;"cluster_0"
36.0;21924.0;7633.44;5543.87;29506.25;609.0;0.0;33.0;55.0;49083.3;8743.0;2.43;0.111;"1";10364.0;"cluster_3"
24.0;79608.0;24900.53;14270.96;73633.88;3317.0;0.0;23.0;44.0;103745.7;8254.0;3.76;0.097;"1";5270.0;"cluster_1"
60.0;464520.0;15123.68;11560.15;48397.57;7742.0;1.0;52.0;77.0;101797.3;8909.0;5.56;0.113;"-1";6034.0;"cluster_2"
36.0;95400.0;10640.12;9864.74;41887.91;2650.0;0.0;22.0;5.0;27667.0;9307.0;4.43;0.118;"1";6701.0;"cluster_3"
36.0;93888.0;7252.44;8543.75;39499.88;2608.0;1.0;43.0;63.0;34716.3;8288.0;4.52;0.11;"1";2705.0;"cluster_3"
12.0;47016.0;11881.73;11415.38;56003.13;3918.0;1.0;35.0;46.0;58773.2;8369.0;2.31;0.117;"1";7123.0;"cluster_1"
60.0;259740.0;15349.46;10974.27;40014.62;4329.0;0.0;14.0;68.0;67219.5;9893.0;4.72;0.096;"1";10320.0;"cluster_2"
12.0;38148.0;9834.61;12359.78;31727.73;3179.0;1.0;28.0;1.0;47725.8;12541.0;0.43;0.167;"1";9034.0;"cluster_0"
12.0;86616.0;6128.61;7100.0;22305.36;7218.0;0.0;32.0;11.0;37253.1;9622.0;0.59;0.154;"1";9236.0;"cluster_0"
24.0;75624.0;12065.25;16888.89;47965.77;3151.0;0.0;35.0;54.0;41954.8;9897.0;1.96;0.14;"-1";10266.0;"cluster_1"
24.0;80952.0;10081.92;9096.1;28947.97;3373.0;0.0;48.0;1.0;27855.2;12541.0;0.43;0.167;"1";2.0;"cluster_0"
24.0;80952.0;10082.31;9064.11;29027.99;3373.0;0.0;48.0;1.0;28763.7;12541.0;0.43;0.167;"1";7401.0;"cluster_0"
12.0;24516.0;18173.04;12999.18;43928.69;2043.0;0.0;35.0;1.0;78670.8;12541.0;0.43;0.167;"1";2486.0;"cluster_0"
60.0;253200.0;9889.57;14475.8;53228.7;4220.0;1.0;43.0;52.0;81150.6;8363.0;3.49;0.108;"1";1071.0;"cluster_2"
24.0;21072.0;3262.68;4150.0;19480.88;878.0;1.0;29.0;17.0;30867.0;8114.0;2.62;0.119;"1";8475.0;"cluster_3"
36.0;108144.0;10421.29;11958.01;50546.99;3004.0;1.0;30.0;59.0;21921.3;8444.0;3.47;0.106;"1";11111.0;"cluster_3"
12.0;78936.0;3830.32;2485.93;26348.41;6578.0;1.0;37.0;31.0;24601.0;8930.0;4.2;0.108;"1";1603.0;"cluster_3"
48.0;149040.0;9158.88;7922.36;29463.77;3105.0;1.0;25.0;11.0;19048.1;9622.0;0.59;0.154;"1";1166.0;"cluster_0"
12.0;49320.0;12290.43;10450.2;45288.02;4110.0;1.0;48.0;24.0;15673.6;8991.0;2.01;0.128;"-1";8073.0;"cluster_3"
36.0;197748.0;12633.43;19437.5;34526.22;5493.0;1.0;23.0;13.0;43294.5;8598.0;3.26;0.123;"1";10940.0;"cluster_2"
60.0;300660.0;14069.98;7651.63;29444.47;5011.0;0.0;44.0;40.0;33918.9;9317.0;7.07;0.097;"1";5313.0;"cluster_2"
36.0;182628.0;6998.22;10333.33;28956.48;5073.0;0.0;34.0;75.0;45660.9;8819.0;5.66;0.099;"1";11135.0;"cluster_3"
12.0;91632.0;9054.23;5976.99;41308.78;7636.0;1.0;31.0;52.0;33061.9;8363.0;3.49;0.108;"1";2694.0;"cluster_3"
24.0;51696.0;15117.31;11916.32;57215.26;2154.0;1.0;26.0;74.0;38202.2;10673.0;5.44;0.1;"1";7753.0;"cluster_1"
24.0;55368.0;8289.98;8455.26;40465.59;2307.0;1.0;54.0;64.0;12414.4;9624.0;2.31;0.145;"1";7445.0;"cluster_3"
24.0;91200.0;11348.65;12074.38;29075.68;3800.0;1.0;38.0;39.0;32715.3;10446.0;9.4;0.09;"1";7485.0;"cluster_3"
24.0;7656.0;8125.91;8240.76;36141.52;319.0;1.0;31.0;48.0;36353.1;9060.0;2.44;0.124;"1";8330.0;"cluster_3"
36.0;212400.0;12857.14;10578.02;46648.19;5900.0;1.0;27.0;38.0;64221.1;8965.0;8.23;0.104;"1";6555.0;"cluster_1"
60.0;167100.0;16360.11;11725.93;67847.75;2785.0;1.0;24.0;62.0;39310.2;8544.0;1.86;0.109;"1";10079.0;"cluster_1"
60.0;149340.0;7340.85;5546.26;24523.85;2489.0;0.0;31.0;44.0;23568.3;8254.0;3.76;0.097;"1";5385.0;"cluster_3"
