account_id;duration;amount
1787;12;96396
1801;36;165960
9188;60;127080
1843;36;105804
11013;60;274740
8261;24;87840
11265;12;52788
5428;24;174744
10973;48;154416
4894;24;117024
10364;36;21924
5270;24;79608
6034;60;464520
6701;36;95400
2705;36;93888
7123;12;47016
10320;60;259740
9034;12;38148
9236;12;86616
10266;24;75624
2;24;80952
7401;24;80952
2486;12;24516
1071;60;253200
8475;24;21072
11111;36;108144
1603;12;78936
1166;48;149040
8073;12;49320
10940;36;197748
5313;60;300660
11135;36;182628
2694;12;91632
7753;24;51696
7445;24;55368
7485;24;91200
8330;24;7656
6555;36;212400
10079;60;167100
5385;60;149340
5891;12;65184
10131;36;215388
8321;60;89040
5256;36;193968
813;12;24312
2933;60;272520
8173;12;80340
9833;12;97632
7769;48;196080
6473;12;76908
7454;48;63312
6930;24;25944
173;12;104808
8051;48;208320
10439;24;151560
9337;24;52128
4576;36;300204
8027;12;77640
5927;48;87216
6273;24;87360
11065;48;69360
8558;60;288360
5442;24;174744
1811;60;239460
7844;24;91584
4260;60;244560
3354;12;4980
2762;24;111384
6051;36;276660
9265;12;39576
5228;24;173808
2824;60;50460
426;60;252060
4937;24;143904
790;48;208128
10911;36;131292
8129;36;74736
2176;36;299088
9093;60;189300
5215;12;14628
9403;36;120888
9104;48;172080
5120;48;323472
8519;12;74688
10788;12;45768
8260;36;224604
4259;24;79632
10105;24;121896
3050;12;82896
3674;12;23628
5481;48;209184
9307;12;41904
4427;12;87816
3834;12;23052
7824;24;189696
8566;36;230220
7965;12;71460
5952;24;141240
6040;24;11736
4448;36;192744
8982;36;227880
6363;12;17508
1012;24;98184
2167;24;170256
5622;12;83016
5991;48;61056
290;48;123696
6148;24;59760
7133;36;48672
8041;36;140400
1106;24;192552
1527;36;164052
1978;36;205200
4337;24;51408
2345;60;199680
10451;60;482940
6425;12;36684
6226;60;398640
344;60;100980
2962;12;31248
10738;36;115992
3747;12;76380
7523;36;288468
3166;48;177744
6118;36;270648
816;24;48624
9640;24;76416
6715;60;137880
2245;48;347952
7857;12;68112
2419;12;95808
7819;48;20832
3678;60;316140
6472;12;43164
4413;48;221280
9750;48;151728
6353;60;79920
817;60;538500
4414;24;97224
6030;24;28248
11021;24;168984
8564;24;76680
9869;60;331560
5700;60;103680
1247;48;99696
8316;24;134784
3064;12;15420
7607;24;31728
2228;48;185952
2361;36;156672
3752;12;18564
4079;48;158976
8625;24;47304
9591;24;104712
9828;24;126600
1993;12;68400
5628;60;225420
1762;36;248148
347;24;187224
9472;12;36396
960;60;189060
1256;36;71064
854;48;87216
3629;60;158760
8377;60;417060
7190;60;63360
8159;24;29784
9656;24;139536
8489;36;265320
10630;24;198240
10440;60;60000
4774;48;465072
5650;24;98592
5632;60;285600
3489;24;44088
4580;12;20220
4727;24;107640
4825;12;21396
8776;48;33984
1375;24;45336
8492;60;85860
9493;48;188688
915;48;309552
9897;12;36168
10942;60;314520
7861;36;21852
8405;60;266220
10093;36;231696
10663;36;260028
11349;60;419880
6738;12;37908
4423;36;73836
7546;12;41952
2343;24;99336
6609;36;60156
2218;60;182040
9627;48;244368
9731;36;113796
789;48;73056
4081;24;137904
5774;24;31176
11042;36;217152
6924;48;194880
7765;12;27984
2227;24;92976
9583;24;104712
7606;60;191880
5742;48;232560
1011;60;204000
8899;60;125340
7562;48;309600
7815;24;189696
4503;48;135360
4907;48;98832
5126;48;20352
2496;60;165120
11138;24;89880
4995;36;128988
3804;12;63252
5066;24;61656
6400;24;72408
10884;36;113544
8092;60;56100
5735;60;290700
3112;48;123216
2912;60;380160
4852;36;213300
8327;48;247728
1772;36;202788
10728;48;154656
9017;48;100224
5574;12;44628
808;48;215616
2456;48;200976
3037;36;277884
1967;48;249312
5213;48;320976
7418;12;30276
2352;60;49440
19;12;30276
67;24;165960
5794;60;123600
8411;60;220620
4462;24;66480
7614;48;320592
3608;36;161496
940;60;284280
8547;36;173016
5422;60;368880
9645;36;176148
9006;48;186384
2572;48;360000
1766;60;30060
2322;24;46320
1698;36;141948
10001;36;19044
8680;36;85716
8127;24;155880
5541;48;32640
2268;36;20196
3679;48;444864
5033;12;11400
6985;36;96768
9790;48;133968
846;24;187104
1886;36;162468
2580;60;89340
9928;60;89340
4994;36;258444
7184;24;155640
6358;48;270384
11359;12;54024
5593;12;44376
6289;48;85632
11054;60;148920
544;24;91152
4851;24;141648
1583;48;388512
4650;60;402000
3084;36;253512
2143;36;71460
9199;12;29448
2994;36;48744
6397;60;181020
10762;36;68832
7136;36;74124
8533;48;174048
7926;24;84120
10019;36;194940
4476;24;15192
9814;12;96168
2236;36;139464
10436;36;54396
11186;60;392460
2106;12;101520
3230;36;77184
9024;48;70656
4585;48;64656
1862;60;396120
8039;24;93600
6688;36;22968
501;60;262980
7795;60;372120
9422;12;86184
2062;12;86184
4447;36;192744
3754;24;68544
132;12;88440
5001;24;110112
6434;24;110136
5263;60;276300
4948;60;359760
3115;60;321180
9548;48;46176
10297;48;421008
7859;12;72120
9510;36;228276
1250;48;182640
2153;12;61560
4981;48;179328
3021;48;155616
10520;60;417600
10411;24;123408
9030;48;155616
3189;60;222180
8972;48;45024
10963;36;115812
11362;24;129408
