account_id;duration;amount;gender;client_age;district_id
1787;12;96396;1;45;30
1801;36;165960;0;24;46
9188;60;127080;0;57;45
1843;36;105804;1;53;14
11013;60;274740;0;14;63
8261;24;87840;1;13;13
11265;12;52788;0;20;15
5428;24;174744;1;45;24
10973;48;154416;1;24;18
4894;24;117024;0;58;14
10364;36;21924;0;33;55
5270;24;79608;0;23;44
6034;60;464520;1;52;77
6701;36;95400;0;22;5
2705;36;93888;1;43;63
7123;12;47016;1;35;46
10320;60;259740;0;14;68
9034;12;38148;1;28;1
9236;12;86616;0;32;11
10266;24;75624;0;35;54
2;24;80952;0;48;1
7401;24;80952;0;48;1
2486;12;24516;0;35;1
1071;60;253200;1;43;52
8475;24;21072;1;29;17
11111;36;108144;1;30;59
1603;12;78936;1;37;31
1166;48;149040;1;25;11
8073;12;49320;1;48;24
10940;36;197748;1;23;13
5313;60;300660;0;44;40
11135;36;182628;0;34;75
2694;12;91632;1;31;52
7753;24;51696;1;26;74
7445;24;55368;1;54;64
7485;24;91200;1;38;39
8330;24;7656;1;31;48
6555;36;212400;1;27;38
10079;60;167100;1;24;62
5385;60;149340;0;31;44
5891;12;65184;0;36;3
10131;36;215388;0;34;39
8321;60;89040;1;24;77
5256;36;193968;0;21;72
813;12;24312;1;38;16
2933;60;272520;0;54;10
8173;12;80340;1;18;1
9833;12;97632;1;25;21
7769;48;196080;0;35;23
6473;12;76908;1;48;4
7454;48;63312;1;38;31
6930;24;25944;1;34;41
173;12;104808;0;54;66
8051;48;208320;1;26;31
10439;24;151560;0;41;66
9337;24;52128;1;34;11
4576;36;300204;0;30;57
8027;12;77640;0;26;27
5927;48;87216;0;30;15
6273;24;87360;0;31;38
11065;48;69360;0;52;46
8558;60;288360;0;58;1
5442;24;174744;1;15;5
1811;60;239460;1;51;68
7844;24;91584;1;42;33
4260;60;244560;1;26;58
3354;12;4980;1;41;63
2762;24;111384;0;27;11
6051;36;276660;0;45;56
9265;12;39576;1;14;32
