account_id;duration;amount;gender;client_age;district_id;district_average_salary;district_unemployment_rate;enterpreneur_ratio
1787;12;96396;1;45;30;9650;3.67;0.1
1801;36;165960;0;24;46;8369;2.31;0.117
9188;60;127080;0;57;45;8390;2.89;0.132
1843;36;105804;1;53;14;10045;1.71;0.135
11013;60;274740;0;14;63;8288;4.52;0.11
8261;24;87840;1;13;13;8598;3.26;0.123
11265;12;52788;0;20;15;9045;3.6;0.124
5428;24;174744;1;45;24;8991;2.01;0.128
10973;48;154416;1;24;18;8968;3.35;0.131
4894;24;117024;0;58;14;10045;1.71;0.135
10364;36;21924;0;33;55;8743;2.43;0.111
5270;24;79608;0;23;44;8254;3.76;0.097
6034;60;464520;1;52;77;8909;5.56;0.113
6701;36;95400;0;22;5;9307;4.43;0.118
2705;36;93888;1;43;63;8288;4.52;0.11
7123;12;47016;1;35;46;8369;2.31;0.117
10320;60;259740;0;14;68;9893;4.72;0.096
9034;12;38148;1;28;1;12541;0.43;0.167
9236;12;86616;0;32;11;9622;0.59;0.154
10266;24;75624;0;35;54;9897;1.96;0.14
2;24;80952;0;48;1;12541;0.43;0.167
7401;24;80952;0;48;1;12541;0.43;0.167
2486;12;24516;0;35;1;12541;0.43;0.167
1071;60;253200;1;43;52;8363;3.49;0.108
8475;24;21072;1;29;17;8114;2.62;0.119
11111;36;108144;1;30;59;8444;3.47;0.106
1603;12;78936;1;37;31;8930;4.2;0.108
1166;48;149040;1;25;11;9622;0.59;0.154
8073;12;49320;1;48;24;8991;2.01;0.128
10940;36;197748;1;23;13;8598;3.26;0.123
5313;60;300660;0;44;40;9317;7.07;0.097
11135;36;182628;0;34;75;8819;5.66;0.099
2694;12;91632;1;31;52;8363;3.49;0.108
7753;24;51696;1;26;74;10673;5.44;0.1
7445;24;55368;1;54;64;9624;2.31;0.145
7485;24;91200;1;38;39;10446;9.4;0.09
8330;24;7656;1;31;48;9060;2.44;0.124
6555;36;212400;1;27;38;8965;8.23;0.104
10079;60;167100;1;24;62;8544;1.86;0.109
5385;60;149340;0;31;44;8254;3.76;0.097
5891;12;65184;0;36;3;8980;2.21;0.111
10131;36;215388;0;34;39;10446;9.4;0.09
