account_id;duration;amount;credits_mean;withdrawals_mean;balances_monthly_2;average_balance_monthly;payment_monthly;gender;client_age;district_id;last_balance
1787;12;96396;5025.0;0.0;5025.0;12250.0;8033.0;1;45;30;20100.0
1801;36;165960;14708.7;6056.51;8652.19;49304.45;4610.0;0;24;46;52208.9
9188;60;127080;5446.59;5329.81;116.79;21940.18;2118.0;0;57;45;20272.8
1843;36;105804;9408.56;6780.55;2628.01;28803.84;2939.0;1;53;14;34292.7
11013;60;274740;19780.51;17632.75;2147.76;41755.73;4579.0;0;14;63;41142.9
8261;24;87840;5878.07;11760.0;-5881.93;51021.84;3660.0;1;13;13;43847.8
11265;12;52788;4027.18;2629.03;1398.15;20007.19;4399.0;0;20;15;21029.0
5428;24;174744;12182.0;10287.25;1894.75;42204.07;7281.0;1;45;24;58140.9
10973;48;154416;8985.37;7431.94;1553.43;45594.5;3217.0;1;24;18;53402.7
4894;24;117024;11919.35;13040.0;-1120.65;34083.48;4876.0;0;58;14;53193.5
10364;36;21924;7633.44;4031.9;3601.54;29506.25;609.0;0;33;55;49083.3
5270;24;79608;24900.53;12973.6;11926.93;73633.88;3317.0;0;23;44;103745.7
6034;60;464520;15123.68;10275.69;4847.99;48397.57;7742.0;1;52;77;101797.3
6701;36;95400;10640.12;8768.66;1871.46;41887.91;2650.0;0;22;5;27667.0
2705;36;93888;6043.7;5695.83;347.86;39499.88;2608.0;1;43;63;34716.3
7123;12;47016;10561.54;8878.63;1682.91;56003.13;3918.0;1;35;46;58773.2
10320;60;259740;15349.46;9145.22;6204.24;40014.62;4329.0;0;14;68;67219.5
9034;12;38148;9834.61;8828.41;1006.19;31727.73;3179.0;1;28;1;47725.8
9236;12;86616;6128.61;4260.0;1868.61;22305.36;7218.0;0;32;11;37253.1
10266;24;75624;12065.25;14476.19;-2410.94;47965.77;3151.0;0;35;54;41954.8
2;24;80952;10081.92;7442.26;2639.65;28947.97;3373.0;0;48;1;27855.2
7401;24;80952;10082.31;7416.09;2666.21;29027.99;3373.0;0;48;1;28763.7
2486;12;24516;18173.04;11817.44;6355.61;43928.69;2043.0;0;35;1;78670.8
