account_id;duration;amount;credits_mean;withdrawals_mean;balances_monthly_2;average_balance_monthly;payment_monthly;gender;client_age;district_id;last_balance;district_average_salary;district_unemployment_rate;enterpreneur_ratio;credits_cash_mean;credits_another_bank_mean;credits_interest_mean;withdrawal_another_bank_mean;withdrawal_cash_mean;withdrawal_credit_card_mean
1787;12;96396;5025.0;0.0;5025.0;12250.0;8033.0;1;45;30;20100.0;9650;3.67;0.1;5025.0;0.0;0.0;0.0;0.0;0.0
1801;36;165960;14708.7;6056.51;8652.19;49304.45;4610.0;0;24;46;52208.9;8369;2.31;0.117;19087.5833333;0.0;168.54;2682.375;14254.38;0.0
9188;60;127080;5446.59;5329.81;116.79;21940.18;2118.0;0;57;45;20272.8;8390;2.89;0.132;2250.0;13981.0;92.625;2824.33333333;7733.33333333;0.0
1843;36;105804;9408.56;6780.55;2628.01;28803.84;2939.0;1;53;14;34292.7;10045;1.71;0.135;2450.0;19101.3333333;160.36;6994.0;7202.92;0.0
11013;60;274740;19780.51;17632.75;2147.76;41755.73;4579.0;0;14;63;41142.9;8288;4.52;0.11;600.0;45764.3333333;190.183333333;6584.66666667;19587.2727273;0.0
8261;24;87840;5878.07;11760.0;-5881.93;51021.84;3660.0;1;13;13;43847.8;8598;3.26;0.123;1300.0;24703.75;154.1;0.0;19600.0;0.0
11265;12;52788;4027.18;2629.03;1398.15;20007.19;4399.0;0;20;15;21029.0;9045;3.6;0.124;6410.92857143;0.0;90.2571428571;1556.5;4064.55714286;0.0
5428;24;174744;12182.0;10287.25;1894.75;42204.07;7281.0;1;45;24;58140.9;8991;2.01;0.128;19377.2727273;0.0;169.52;0.0;10260.2714286;0.0
10973;48;154416;8985.37;7431.94;1553.43;45594.5;3217.0;1;24;18;53402.7;8968;3.35;0.131;18162.2;0.0;153.633333333;0.0;7287.14285714;0.0
4894;24;117024;11919.35;13040.0;-1120.65;34083.48;4876.0;0;58;14;53193.5;10045;1.71;0.135;800.0;29255.0;143.375;0.0;16300.0;0.0
10364;36;21924;7633.44;4031.9;3601.54;29506.25;609.0;0;33;55;49083.3;8743;2.43;0.111;13123.0416667;0.0;123.333333333;6262.0;4115.42105263;0.0
5270;24;79608;24900.53;12973.6;11926.93;73633.88;3317.0;0;23;44;103745.7;8254;3.76;0.097;800.0;46783.0909091;286.84;0.0;12885.2714286;0.0
6034;60;464520;15123.68;10275.69;4847.99;48397.57;7742.0;1;52;77;101797.3;8909;5.56;0.113;22516.0454545;0.0;194.366666667;0.0;10339.6428571;0.0
6701;36;95400;10640.12;8768.66;1871.46;41887.91;2650.0;0;22;5;27667.0;9307;4.43;0.118;19703.7692308;0.0;155.111111111;0.0;8873.04347826;0.0
2705;36;93888;6043.7;5695.83;347.86;39499.88;2608.0;1;43;63;34716.3;8288;4.52;0.11;3000.0;15649.0;154.28;0.0;7185.71428571;0.0
7123;12;47016;10561.54;8878.63;1682.91;56003.13;3918.0;1;35;46;58773.2;8369;2.31;0.117;20371.3571429;0.0;185.55;14581.0;10940.0;0.0
10320;60;259740;15349.46;9145.22;6204.24;40014.62;4329.0;0;14;68;67219.5;9893;4.72;0.096;800.0;28570.4;195.375;12414.0;10800.0;0.0
9034;12;38148;9834.61;8828.41;1006.19;31727.73;3179.0;1;28;1;47725.8;12541;0.43;0.167;1350.0;23621.0;79.55;5887.0;10985.7666667;0.0
9236;12;86616;6128.61;4260.0;1868.61;22305.36;7218.0;0;32;11;37253.1;9622;0.59;0.154;9696.16666667;0.0;62.7;0.0;7100.0;0.0
10266;24;75624;12065.25;14476.19;-2410.94;47965.77;3151.0;0;35;54;41954.8;9897;1.96;0.14;28896.3333333;0.0;197.444444444;0.0;16650.0;0.0
2;24;80952;10081.92;7442.26;2639.65;28947.97;3373.0;0;48;1;27855.2;12541;0.43;0.167;2400.0;22259.6;128.93;7266.0;4861.98333333;0.0
7401;24;80952;10082.31;7416.09;2666.21;29027.99;3373.0;0;48;1;28763.7;12541;0.43;0.167;2400.0;22259.6;129.79;7266.0;4824.48333333;0.0
2486;12;24516;18173.04;11817.44;6355.61;43928.69;2043.0;0;35;1;78670.8;12541;0.43;0.167;29948.2857143;0.0;177.1;0.0;12573.2363636;0.0
1071;60;253200;9889.57;12867.38;-2977.8;53228.7;4220.0;1;43;52;81150.6;8363;3.49;0.108;21774.2307692;0.0;214.2125;0.0;9632.35294118;0.0
8475;24;21072;3262.68;1660.0;1602.69;19480.88;878.0;1;29;17;30867.0;8114;2.62;0.119;5530.57142857;0.0;75.5166666667;0.0;4150.0;0.0
11111;36;108144;10421.29;10629.34;-208.05;50546.99;3004.0;1;30;59;21921.3;8444;3.47;0.106;25688.0666667;0.0;200.5;4736.0;12945.6769231;0.0
1603;12;78936;3830.32;1988.74;1841.58;26348.41;6578.0;1;37;31;24601.0;8930;4.2;0.108;6293.93333333;0.0;110.666666667;1707.88888889;3079.61111111;0.0
1166;48;149040;9158.88;6337.89;2820.99;29463.77;3105.0;1;25;11;19048.1;9622;0.59;0.154;1200.0;20701.0;135.844444444;4397.0;5239.74074074;0.0
8073;12;49320;10242.02;10450.2;-208.18;45288.02;4110.0;1;48;24;15673.6;8991;2.01;0.128;22108.9166667;0.0;192.92;6131.0;8670.0;0.0
10940;36;197748;12633.43;12958.33;-324.9;34526.22;5493.0;1;23;13;43294.5;8598;3.26;0.123;19341.7142857;0.0;150.65;0.0;18540.0;0.0
5313;60;300660;14069.98;6956.02;7113.95;29444.47;5011.0;0;44;40;33918.9;9317;7.07;0.097;23797.9333333;0.0;143.777777778;2638.66666667;10487.4230769;0.0
11135;36;182628;6998.22;6200.0;798.22;28956.48;5073.0;0;34;75;45660.9;8819;5.66;0.099;12685.1666667;0.0;137.475;0.0;10333.3333333;0.0
2694;12;91632;8357.75;5057.45;3300.3;41308.78;7636.0;1;31;52;33061.9;8363;3.49;0.108;15673.7333333;0.0;172.383333333;3532.0;5024.48;0.0
7753;24;51696;14037.5;11065.15;2972.35;57215.26;2154.0;1;26;74;38202.2;10673;5.44;0.1;23392.7096774;0.0;222.453846154;0.0;12483.5688889;2940.0
7445;24;55368;8289.98;6504.05;1785.93;40465.59;2307.0;1;54;64;12414.4;9624;2.31;0.145;17160.44;0.0;164.436363636;0.0;6775.53846154;0.0
7485;24;91200;11348.65;9391.19;1957.46;29075.68;3800.0;1;38;39;32715.3;10446;9.4;0.09;566.666666667;24223.875;122.571428571;10279.0;7280.29230769;0.0
8330;24;7656;8125.91;6972.95;1152.95;36141.52;319.0;1;31;48;36353.1;9060;2.44;0.124;19681.0;0.0;151.145454545;3708.0;5752.49189189;0.0
6555;36;212400;12857.14;9764.32;3092.81;46648.19;5900.0;1;27;38;64221.1;8965;8.23;0.104;22689.3157895;0.0;184.933333333;0.0;9280.27027027;0.0
10079;60;167100;14996.77;10748.77;4248.0;67847.75;2785.0;1;24;62;39310.2;8544;1.86;0.109;26495.0454545;0.0;263.109090909;0.0;11363.8604651;0.0
5385;60;149340;7340.85;5042.05;2298.8;24523.85;2489.0;0;31;44;23568.3;8254;3.76;0.097;2733.33333333;16429.6;107.93;8754.0;3660.76923077;0.0
5891;12;65184;17449.11;10641.19;6807.92;39497.44;5432.0;0;36;3;67995.4;8980;2.21;0.111;900.0;34766.9333333;176.678571429;0.0;8444.70833333;0.0
10131;36;215388;3560.97;5083.33;-1522.36;27495.15;5983.0;0;34;39;30662.8;10446;9.4;0.09;20156.6666667;0.0;98.9857142857;0.0;6100.0;0.0
8321;60;89040;3513.49;2996.92;516.57;32505.99;1484.0;1;24;77;29305.8;8909;5.56;0.113;8964.88888889;0.0;114.515384615;7041.0;2248.89714286;0.0
5256;36;193968;11856.92;15675.0;-3818.08;40956.34;5388.0;0;21;72;80780.0;8994;4.79;0.11;23718.8333333;0.0;194.25;0.0;22822.2222222;0.0
813;12;24312;5469.26;3929.2;1540.06;27954.76;2026.0;1;38;16;28461.9;8427;1.54;0.107;1557.14285714;12964.2666667;126.426666667;0.0;2762.79444444;0.0
2933;60;272520;10868.5;7670.13;3198.37;37865.22;4542.0;0;54;10;30009.9;10124;0.54;0.141;20259.7826087;0.0;156.418181818;5907.0;8635.18285714;0.0
8173;12;80340;20754.59;12790.12;7964.48;64330.72;6695.0;1;18;1;89342.6;12541;0.43;0.167;5100.0;42882.0;291.744444444;0.0;11824.0357143;0.0
9833;12;97632;25690.01;15290.7;10399.31;36765.79;8136.0;1;25;21;41330.1;9104;2.07;0.123;1100.0;51256.8;177.355555556;6223.0;11528.1612903;0.0
7769;48;196080;13644.22;7444.76;6199.46;59177.11;4085.0;0;35;23;86857.4;8624;2.66;0.102;22167.5384615;0.0;193.485714286;0.0;7286.375;0.0
6473;12;76908;13502.92;11158.18;2344.74;44282.31;6409.0;1;48;4;14888.6;9753;5.05;0.109;25525.7307692;0.0;195.54375;0.0;10566.8307692;0.0
7454;48;63312;2591.1;1291.5;1299.6;22098.31;1319.0;1;38;31;28553.5;8930;4.2;0.108;4157.56521739;0.0;92.7666666667;1334.52941176;1516.56;0.0
6930;24;25944;13355.0;8131.89;5223.11;60904.73;1081.0;1;34;41;69398.9;9832;4.48;0.114;20984.8636364;0.0;237.9875;0.0;9074.35555556;0.0
173;12;104808;9389.93;6437.36;2952.57;28867.14;8734.0;0;54;66;28015.4;8512;4.12;0.102;16147.8571429;0.0;122.2;2152.0;6841.46;0.0
